Main_Info,Extra_Info,Description,Properties
"BMW iX1,2025 il,yeni","ŞəhərBakıMarkaBMWModeliX1Buraxılış ili2025Ban növüOffroader / SUV, 5 qapıRəngQaraMühərrik313 a.g. / ElektroYürüş0 kmSürətlər qutusuReduktorÖtürücüTamYeniBəliYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyib - Davamını oxuBMW iX1 xDrive 30L (Long) - maksimal versiyaGömrük rüsumu qiymətə daxildir- 4616*1845*1641 uzunuluğu*eni*hündürlüyü- 0-100km/s sürətlənmə 5.7s ərzində- Tam şarjla 450KM məsafə qət edir- Maksimum sürət həddi 180 km/s- 66.45kWs həcmində batareya- 313 at gücü- Zolaqdan çıxma xəbərdarlığı- Aktiv braking(safety) sistemi- 19"" Disklər- Head-Up display- Arxa görüntü kamerası- Sport(M) oturacaqlar- Ön oturacaqların yaddaş funksiyası- İnduktiv baqaj qapısının açılıb/bağlanması- Harman Kardon səs sistemi- Adaptiv Kruiz Kontrol- Adaptiv LED fənərlər- Panoramik Dam- Ambient işıqlandırma- Simsiz Şarj- Apple CarPlay--------------------------------------------------------------Zəhmət olmasa, iş vaxtlarında əlaqə saxlayın:İş saatları: 10:00 - 19:00 - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9382632","BMW iX1 xDrive 30L (Long) - maksimal versiyaGömrük rüsumu qiymətə daxildir- 4616*1845*1641 uzunuluğu*eni*hündürlüyü- 0-100km/s sürətlənmə 5.7s ərzində- Tam şarjla 450KM məsafə qət edir- Maksimum sürət həddi 180 km/s- 66.45kWs həcmində batareya- 313 at gücü- Zolaqdan çıxma xəbərdarlığı- Aktiv braking(safety) sistemi- 19"" Disklər- Head-Up display- Arxa görüntü kamerası- Sport(M) oturacaqlar- Ön oturacaqların yaddaş funksiyası- İnduktiv baqaj qapısının açılıb/bağlanması- Harman Kardon səs sistemi- Adaptiv Kruiz Kontrol- Adaptiv LED fənərlər- Panoramik Dam- Ambient işıqlandırma- Simsiz Şarj- Apple CarPlay--------------------------------------------------------------Zəhmət olmasa, iş vaxtlarında əlaqə saxlayın:İş saatları: 10:00 - 19:00",Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıOturacaqların ventilyasiyası,29 600 USD
"Mercedes E 200 d,2.2 L,2014 il,336 000 km","ŞəhərBakıMarkaMercedesModelE 200 dBuraxılış ili2014Ban növüSedanRəngQaraMühərrik2.2 L / 136 a.g. / DizelYürüş336 000 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAvropa - Davamını oxuTecili Satilir! Xeyir ishle bagliLizinge salmaga komeklik ederem. Ilkin 9800E200D Bezkraska, Nemka. 2022de ozumchun Almaniyadan getizdirmishem. Almaniyada da bir sahibi olub sonra men almisham. Orginal probegdi yalandan 130-180 min km chekilen mashinlardan deyil. 700-800min geden mashinlari chekirler 130mine sonra da deyirler 651 problemdi.Hech bir problemi yoxdu. Butun rasxodnikler odenilib. Teze 4 teker qoymusham. Motor problemsiz. Yanacaq serfiyyati sheher ichi 6-7 lt. Trasda 4lt kimi dushur sabit surushe. 5minden bir yagi deyishilib Mercedes orginal yagi ile. ALAN ADAMA XEYIRLI OLSUN INDIDEN. - Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalar - Düzəliş etElanı silElanın nömrəsi: 9307785","Tecili Satilir! Xeyir ishle bagliLizinge salmaga komeklik ederem. Ilkin 9800E200D Bezkraska, Nemka. 2022de ozumchun Almaniyadan getizdirmishem. Almaniyada da bir sahibi olub sonra men almisham. Orginal probegdi yalandan 130-180 min km chekilen mashinlardan deyil. 700-800min geden mashinlari chekirler 130mine sonra da deyirler 651 problemdi.Hech bir problemi yoxdu. Butun rasxodnikler odenilib. Teze 4 teker qoymusham. Motor problemsiz. Yanacaq serfiyyati sheher ichi 6-7 lt. Trasda 4lt kimi dushur sabit surushe. 5minden bir yagi deyishilib Mercedes orginal yagi ile. ALAN ADAMA XEYIRLI OLSUN INDIDEN.",Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalar,26 777 AZN
"Chevrolet Monza,1.5 L,2024 il,71 200 km","ŞəhərBakıMarkaChevroletModelMonzaBuraxılış ili2024Ban növüSedanRəngQaraMühərrik1.5 L / 113 a.g. / BenzinYürüş71 200 kmSürətlər qutusuRobotÖtürücüÖnYeniXeyrSahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib - Davamını oxuSalam BEZKRASKA Ideal vəziyyətdədi Icbari Sgortasi yenilenib Ilkin Ödəniş 6400 12 ayın ödəmişəm 48 ayi qalıb 712 m BURAXLIS karti alınıb 7 illik...Asaqi qiymət qoymuwam endirimdə edəcəm real alıcıya.... - Yüngül lehimli disklərABSLyukMərkəzi qapanmaPark radarıKondisionerDəri salonKsenon lampalarArxa görüntü kamerası - Düzəliş etElanı silElanın nömrəsi: 9441649",Salam BEZKRASKA Ideal vəziyyətdədi Icbari Sgortasi yenilenib Ilkin Ödəniş 6400 12 ayın ödəmişəm 48 ayi qalıb 712 m BURAXLIS karti alınıb 7 illik...Asaqi qiymət qoymuwam endirimdə edəcəm real alıcıya....,Yüngül lehimli disklərABSLyukMərkəzi qapanmaPark radarıKondisionerDəri salonKsenon lampalarArxa görüntü kamerası,38 210 AZN
"Toyota Frontlander,2.0 L,2025 il,yeni","ŞəhərBakıMarkaToyotaModelFrontlanderBuraxılış ili2025Ban növüOffroader / SUV, 5 qapıRəngAğMühərrik2.0 L / 197 a.g. / HibridYürüş0 kmSürətlər qutusuVariatorÖtürücüÖnYeniBəliYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib - Davamını oxuAvtomobil şirkətimiz tərəfindən birbaşa iştirakımızla Çində Toyota Rəsmi zavodundan alınıb.Avtomobil 2025 Fevral ayinin istehsalidir.Deluxe versiyadırLyukSalon gizli işiqlar (ambiance)Dəri salon4 Lupa faraArxa led stopSport diskAçarsız daxil olmaArxa kondisioner çıxışıArxa KameraElektron oturacaqİngilis diliCar playZolag izləmə - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerDəri salonKsenon lampalarArxa görüntü kamerası - Düzəliş etElanı silElanın nömrəsi: 9377720",Avtomobil şirkətimiz tərəfindən birbaşa iştirakımızla Çində Toyota Rəsmi zavodundan alınıb.Avtomobil 2025 Fevral ayinin istehsalidir.Deluxe versiyadırLyukSalon gizli işiqlar (ambiance)Dəri salon4 Lupa faraArxa led stopSport diskAçarsız daxil olmaArxa kondisioner çıxışıArxa KameraElektron oturacaqİngilis diliCar playZolag izləmə,Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerDəri salonKsenon lampalarArxa görüntü kamerası,40 700 AZN
"Kia Optima,2.0 L,2009 il,247 155 km","ŞəhərBakıMarkaKiaModelOptimaBuraxılış ili2009Ban növüSedanRəngAğMühərrik2.0 L / 136 a.g. / BenzinYürüş247 155 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbRəsmi diler - Davamını oxuRəsmi servisdən alınıb. Sadə doch mator, sadə karopkadır. Ekonom, komfortlu və geniş avtomobildir. Heç bir vuruğu olmayıb. Bəzi detalları kosmetik rənglənib. Hazırda heç bir xərc tələb etmir. Hər bir funksiyası işləkdir. Matoru yağ azaltmır səssiz işləyir. Karopkası əladır. Asqı sistemi tam saz vəziyyətdədir. İstənilən servisdə yoxlanıla bilər. - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerKsenon lampalarArxa görüntü kamerasıYan pərdələr - Düzəliş etElanı silElanın nömrəsi: 9486724","Rəsmi servisdən alınıb. Sadə doch mator, sadə karopkadır. Ekonom, komfortlu və geniş avtomobildir. Heç bir vuruğu olmayıb. Bəzi detalları kosmetik rənglənib. Hazırda heç bir xərc tələb etmir. Hər bir funksiyası işləkdir. Matoru yağ azaltmır səssiz işləyir. Karopkası əladır. Asqı sistemi tam saz vəziyyətdədir. İstənilən servisdə yoxlanıla bilər.",Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerKsenon lampalarArxa görüntü kamerasıYan pərdələr,14 700 AZN
"Mercedes C 200,2.0 L,1998 il,521 147 km","ŞəhərBakıMarkaMercedesModelC 200Buraxılış ili1998Ban növüSedanRəngGümüşüMühərrik2.0 L / 136 a.g. / BenzinYürüş521 147 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrVəziyyətiVuruğu var, rənglənməyibQəzalıBəli - Davamını oxuMaşin sürülür nemkadi birinci vurugudur cox səliqəli maşandir təzə təkərlər 16 şam disklər barter olunmayir - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9486721",Maşin sürülür nemkadi birinci vurugudur cox səliqəli maşandir təzə təkərlər 16 şam disklər barter olunmayir,Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası,8 400 AZN
"Ford Mondeo,2.0 L,2008 il,273 000 km","ŞəhərSumqayıtMarkaFordModelMondeoBuraxılış ili2008Ban növüSedanRəngAğMühərrik2.0 L / 140 a.g. / BenzinYürüş273 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrVəziyyətiVuruğu yoxdur, rənglənməyib - Davamını oxuSalam maşndı zavod maşındı her bir fuksiyadı işlekdir alana Allah xeyrin versin. - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9365849",Salam maşndı zavod maşındı her bir fuksiyadı işlekdir alana Allah xeyrin versin.,Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarYan pərdələrOturacaqların ventilyasiyası,7 400 AZN
"LADA (VAZ) Niva,1.6 L,1984 il,37 000 km","ŞəhərBakıMarkaLADA (VAZ)ModelNivaBuraxılış ili1984Ban növüOffroader / SUV, 3 qapıRəngYaşılMühərrik1.6 L / 75 a.g. / BenzinYürüş37 000 kmSürətlər qutusuMexanikiÖtürücüTamYeniXeyrYerlərin sayı4Sahiblər2VəziyyətiVuruğu yoxdur, rənglənibHansı bazar üçün yığılıbRusiya - Davamını oxuEzüm ücün almjşam, temiz Rusiya istehsalidi , cürük - past detalda yoxdur , demiri berk ve dezümlüdü, motor yeni goydurmuşam 1,8 motor , 8 klapan 4 gapili Niva motorudu , mashjn bir sezle yahshj veziyetdedir , Cüzi kosmetik ishi var . Bir sezle kim esil Sovet istehsalj olan eytibarlj ve dezümlü Niva isteyir ala biler . Galan meseleler tel vasitasi ile danjshmag olar. - Yüngül lehimli disklərMərkəzi qapanmaArxa görüntü kamerası - Düzəliş etElanı silElanın nömrəsi: 9455246","Ezüm ücün almjşam, temiz Rusiya istehsalidi , cürük - past detalda yoxdur , demiri berk ve dezümlüdü, motor yeni goydurmuşam 1,8 motor , 8 klapan 4 gapili Niva motorudu , mashjn bir sezle yahshj veziyetdedir , Cüzi kosmetik ishi var . Bir sezle kim esil Sovet istehsalj olan eytibarlj ve dezümlü Niva isteyir ala biler . Galan meseleler tel vasitasi ile danjshmag olar.",Yüngül lehimli disklərMərkəzi qapanmaArxa görüntü kamerası,4 850 AZN
"Toyota Land Cruiser,4.0 L,2013 il,64 220 km","ŞəhərBakıMarkaToyotaModelLand CruiserBuraxılış ili2013Ban növüOffroader / SUV, 5 qapıRəngAğMühərrik4.0 L / 276 a.g. / BenzinYürüş64 220 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrYerlərin sayı7Sahiblər0VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbDubay - Davamını oxuBarter Mumkindir! - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9269016",Barter Mumkindir!,Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıOturacaqların ventilyasiyası,42 000 USD
"Opel Astra,1.8 L,2002 il,410 000 km","ŞəhərBakıMarkaOpelModelAstraBuraxılış ili2002Ban növüUniversal, 5 qapıRəngAğMühərrik1.8 L / 116 a.g. / BenzinYürüş410 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənib - Davamını oxuSalam aleykumXırda kosmetik isleri varReal alıcıya endirim olacaq. - ABSMərkəzi qapanmaKondisioner - Düzəliş etElanı silElanın nömrəsi: 9486728",Salam aleykumXırda kosmetik isleri varReal alıcıya endirim olacaq.,ABSMərkəzi qapanmaKondisioner,8 000 AZN
"Opel Astra,1.6 L,1999 il,254 376 km","ŞəhərSumqayıtMarkaOpelModelAstraBuraxılış ili1999Ban növüHetçbek, 5 qapıRəngTünd qırmızıMühərrik1.6 L / 81 a.g. / BenzinYürüş254 376 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyib - Davamını oxuMaşın ideal veziyytedir Sade matordu Kasmetik işi var. - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaKondisionerOturacaqların isidilməsiKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9471768",Maşın ideal veziyytedir Sade matordu Kasmetik işi var.,Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaKondisionerOturacaqların isidilməsiKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası,8 700 AZN
"LADA (VAZ) 21099,1.5 L,1999 il,254 000 km","ŞəhərBakıMarkaLADA (VAZ)Model21099Buraxılış ili1999Ban növüSedanRəngYaşılMühərrik1.5 L / 70 a.g. / BenzinYürüş254 000 kmSürətlər qutusuMexanikiÖtürücüÖnYeniXeyrYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənibHansı bazar üçün yığılıbRusiya - Davamını oxuSalam masin yaxşı vəziyyətdədi. Tekerleri 4 de tezedi amarzatorlar pursunlar qiranatlari teze deyisili mator qeti yaq yemir ekran yaxsi veziyetdedi svarka zad yoxdu. Masin öz adimdadi isteyen olsa Xirdalan seherinde göre biler riyal aliciya cuzu endirim edecem. O da Riyal olsa. - Yüngül lehimli disklər - Düzəliş etElanı silElanın nömrəsi: 9486354",Salam masin yaxşı vəziyyətdədi. Tekerleri 4 de tezedi amarzatorlar pursunlar qiranatlari teze deyisili mator qeti yaq yemir ekran yaxsi veziyetdedi svarka zad yoxdu. Masin öz adimdadi isteyen olsa Xirdalan seherinde göre biler riyal aliciya cuzu endirim edecem. O da Riyal olsa.,Yüngül lehimli disklər,4 000 AZN
"Porsche Taycan 4 Cross Turismo,2021 il,31 700 km","ŞəhərBakıMarkaPorscheModelTaycan 4 Cross TurismoBuraxılış ili2021Ban növüUniversal, 5 qapıRəngQaraMühərrik476 a.g. / ElektroYürüş31 700 kmSürətlər qutusuReduktorÖtürücüTamYeniXeyrYerlərin sayı4Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAvropa - Davamını oxuAvtomobilin ilk sahibiyem. Gurcustan porsche merkezinden alinib. Yalniz Baki porsche merkezinde resmi servisde qulluq olunub. Hec bir deyisheni ve ya problemi yoxdur. Barter teklif etmeyin - Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerası - Düzəliş etElanı silElanın nömrəsi: 9486734",Avtomobilin ilk sahibiyem. Gurcustan porsche merkezinden alinib. Yalniz Baki porsche merkezinde resmi servisde qulluq olunub. Hec bir deyisheni ve ya problemi yoxdur. Barter teklif etmeyin,Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerası,79 000 USD
"Land Rover Range Rover,3.0 L,2021 il,39 000 km","ŞəhərBakıMarkaLand RoverModelRange RoverBuraxılış ili2021Ban növüOffroader / SUV, 5 qapıRəngQaraMühərrik3.0 L / 400 a.g. / BenzinYürüş39 000 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAmerika - Davamını oxuP400. Ikinci masin kimi surulur. Qaraj seraitinde saxlanilir  Avtomobil cox ideal veziyyetdedir. Hansi servisde isteseniz yoxlada bilersiniz. Hec bir problemi yoxdur. Head up display var. Qiymetde razilasmaq masinin yaninda olacaq. - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9407848",P400. Ikinci masin kimi surulur. Qaraj seraitinde saxlanilir  Avtomobil cox ideal veziyyetdedir. Hansi servisde isteseniz yoxlada bilersiniz. Hec bir problemi yoxdur. Head up display var. Qiymetde razilasmaq masinin yaninda olacaq.,Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası,79 500 USD
"Land Rover RR Velar,2.0 L,2018 il,90 000 km","ŞəhərBakıMarkaLand RoverModelRR VelarBuraxılış ili2018Ban növüOffroader / SUV, 5 qapıRəngGöyMühərrik2.0 L / 240 a.g. / BenzinYürüş90 000 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənibHansı bazar üçün yığılıbAmerika - Davamını oxuModelin tam full versiyası - R dynamic, masaj, sideniya soyuducu, arxa sərnişinlər üçün monitor, nausnik və s. Avtomobili 2022-ci ilin noyabr ayında özüm üçün gətizdirmişəm. Əla vəziyyətdədir. Qaraj şəraitində saxlanılır. Qeyri-ciddi şəxslər narahat etməsin. Vin kod SALYL2EX3KA789195 - alış qiymətini saytdan görə bilərsiniz. - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9147435","Modelin tam full versiyası - R dynamic, masaj, sideniya soyuducu, arxa sərnişinlər üçün monitor, nausnik və s. Avtomobili 2022-ci ilin noyabr ayında özüm üçün gətizdirmişəm. Əla vəziyyətdədir. Qaraj şəraitində saxlanılır. Qeyri-ciddi şəxslər narahat etməsin. Vin kod SALYL2EX3KA789195 - alış qiymətini saytdan görə bilərsiniz.",Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıOturacaqların ventilyasiyası,32 500 USD
"Ford Fusion (North America),1.5 L,2020 il,133 000 km","ŞəhərBakıMarkaFordModelFusion (North America)Buraxılış ili2020Ban növüSedanRəngGöyMühərrik1.5 L / 184 a.g. / BenzinYürüş133 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrSahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib - Davamını oxuKredit mümkündürIlkin ödəniş 5900 azn (bütün xərclər daxil)36aya 744azn24aya 989azn18aya 1180aznMaşın Amerikadan yeni gelib yüngül ezikle heç bir şar açılmayıb win koda baxa bilersiz 3FA6P0HD9LR142936Tam ideal veziyetdedir çöldən ve salonda heç bir kasmetik işi yoxdur tam islek veziyetdedir harada isteseniz yoxlada bilersiz Suda batan maşın deyil Azerbaycan da surulen leşi çıxan maşınlarla muqayise etmeyin cox temiz veziyetdedirYuksek komplektasiyaZolağ tanimaKor nöktəQeza siqnaliBöyük manitor OrginalArxa kamera orginalGəldikdən sonra bütün xərcləri çəkilibBugünə heç bir xərc tələb etmir..Maşina həftə içi 9:00 dan 17:00 a kimiXətaidə Azure plazanin yaninda baxa bilərsiz. - Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerKsenon lampalarArxa görüntü kamerası - Düzəliş etElanı silElanın nömrəsi: 9372239",Kredit mümkündürIlkin ödəniş 5900 azn (bütün xərclər daxil)36aya 744azn24aya 989azn18aya 1180aznMaşın Amerikadan yeni gelib yüngül ezikle heç bir şar açılmayıb win koda baxa bilersiz 3FA6P0HD9LR142936Tam ideal veziyetdedir çöldən ve salonda heç bir kasmetik işi yoxdur tam islek veziyetdedir harada isteseniz yoxlada bilersiz Suda batan maşın deyil Azerbaycan da surulen leşi çıxan maşınlarla muqayise etmeyin cox temiz veziyetdedirYuksek komplektasiyaZolağ tanimaKor nöktəQeza siqnaliBöyük manitor OrginalArxa kamera orginalGəldikdən sonra bütün xərcləri çəkilibBugünə heç bir xərc tələb etmir..Maşina həftə içi 9:00 dan 17:00 a kimiXətaidə Azure plazanin yaninda baxa bilərsiz.,Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerKsenon lampalarArxa görüntü kamerası,22 300 AZN
"Volkswagen Jetta,1.4 L,2019 il,70 811 km","ŞəhərBakıMarkaVolkswagenModelJettaBuraxılış ili2019Ban növüSedanRəngQırmızıMühərrik1.4 L / 150 a.g. / BenzinYürüş70 811 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAmerika - Davamını oxuSalam ciddi şəxslərlə avtomobilin yanında danışmaq olar.Bez qraska. - Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9473074",Salam ciddi şəxslərlə avtomobilin yanında danışmaq olar.Bez qraska.,Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası,22 000 AZN
"Toyota RAV4,2.5 L,2023 il,14 000 km","ŞəhərBakıMarkaToyotaModelRAV4Buraxılış ili2023Ban növüOffroader / SUV, 5 qapıRəngQaraMühərrik2.5 L / 199 a.g. / BenzinYürüş14 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbRəsmi diler - Davamını oxuToyota servisdən 2023-cü ilin dekabr ayında alınıb.Servisdə qulluq olunub.Maşın ideal vəziyyətdədir, heç bir problemi yoxdur, xərc tələb etmir.Orijinal probeq.İstənilən yerdə yoxlada bilərsiniz. - Yüngül lehimli disklərABSMərkəzi qapanmaKondisionerOturacaqların isidilməsiKsenon lampalarArxa görüntü kamerası - Düzəliş etElanı silElanın nömrəsi: 9486738","Toyota servisdən 2023-cü ilin dekabr ayında alınıb.Servisdə qulluq olunub.Maşın ideal vəziyyətdədir, heç bir problemi yoxdur, xərc tələb etmir.Orijinal probeq.İstənilən yerdə yoxlada bilərsiniz.",Yüngül lehimli disklərABSMərkəzi qapanmaKondisionerOturacaqların isidilməsiKsenon lampalarArxa görüntü kamerası,51 000 AZN
"Hyundai Santa Fe,2.0 L,2016 il,125 000 km","ŞəhərBakıMarkaHyundaiModelSanta FeBuraxılış ili2016Ban növüOffroader / SUV, 5 qapıRəngQaraMühərrik2.0 L / 184 a.g. / DizelYürüş125 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrYerlərin sayı7Sahiblər0VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbKoreya - Davamını oxuKoreyadan ENCAR -dan alınmıs ideal vəziyətdə maşındı. 125000 original probeq.Zavod 7 yerlikdi. kreditdə mümkündür. - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9278587",Koreyadan ENCAR -dan alınmıs ideal vəziyətdə maşındı. 125000 original probeq.Zavod 7 yerlikdi. kreditdə mümkündür.,Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası,36 500 AZN
"Kawasaki VN 2000,2000 sm3,2005 il,3 465 km","ŞəhərBakıMarkaKawasakiModelVN 2000Buraxılış ili2005Ban növüMotosikletRəngGöyMühərrik2000 sm3/ 120 a.g. / BenzinYürüş3 465 kmSürətlər qutusuMexanikiÖtürücüArxaYeniXeyrYerlərin sayı2VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAmerika - Davamını oxuSalam motonu tecili satiram 13800 azn. Ve ya  mueyyen odenis edib qalanini 6 aya böle bilerem hec bir faiz teleb olunmadan .. - Düzəliş etElanı silElanın nömrəsi: 9459899",Salam motonu tecili satiram 13800 azn. Ve ya  mueyyen odenis edib qalanini 6 aya böle bilerem hec bir faiz teleb olunmadan ..,,13 800 AZN
